<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
BAFN,20231013,9.9,9.9,9.76,9.76,900
BAND,20231013,10.31,10.64,10.08,10.55,251600
BANF,20231013,85.21,85.21,82.6,82.71,53400
BANFP,20231013,26.9999,26.9999,26.9999,26.9999,600
BANL,20231013,1.14,1.17,1.12,1.12,5200
BANR,20231013,44.65,44.9,43.11,43.17,152200
BANX,20231013,17.16,17.46,17.16,17.25,21200
BAOS,20231013,4.49,4.6092,4.4898,4.5999,3400
BASE,20231013,15.9,16.08,15.03,15.05,213400
BATRA,20231013,39.49,40.19,39.49,39.83,39200
BATRK,20231013,36.15,36.705,35.8701,36.48,122600
BBCP,20231013,8.96,8.99,8.63,8.67,31800
BBGI,20231013,0.811,0.829,0.8,0.8,9900
BBH,20231013,157.1599,157.1599,156.511,156.83,4500
BBIO,20231013,24.91,26.3399,24.46,26.08,1385000
BBLG,20231013,0.62,0.62,0.58,0.6,31000
BBSI,20231013,94.18,94.18,92.47,92.89,11100
BCAB,20231013,1.72,1.75,1.59,1.65,222100
BCAL,20231013,14.51,14.59,14.47,14.5,6100
BCAN,20231013,0.92,0.926,0.8501,0.88,42300
BCBP,20231013,11.18,11.18,10.86,10.9,21400
BCDA,20231013,0.44,0.475,0.4,0.44,114300
BCEL,20231013,0.37,0.3801,0.292,0.33,3217200
BCLI,20231013,0.1543,0.1717,0.153,0.17,985400
BCML,20231013,20.22,20.22,19.64,19.71,19900
BCOV,20231013,3,3.05,3,3.03,67900
BCOW,20231013,6.63,6.76,6.61,6.65,9200
BCPC,20231013,125.23,125.23,123.9,125,70300
BCRX,20231013,5.93,6.071,5.81,5.94,2577600
BCSA,20231013,10.85,10.85,10.8499,10.8499,400
BCTX,20231013,5.3,5.51,4.78,4.9,97900
BCTXW,20231013,1.75,1.94,1.2101,1.47,17500
BCYC,20231013,20.34,20.62,19.325,20.22,277600
BDGS,20231013,25.43,25.43,25.4234,25.4234,700
BDRX,20231013,4.93,5.14,4.69,4.84,23600
BDSX,20231013,1.5653,1.61,1.535,1.535,9600
BDTX,20231013,2.46,2.51,2.265,2.29,446700
BEAM,20231013,21.33,22.34,20.96,22.26,744000
BEAT,20231013,1.59,1.59,1.41,1.47,92800
BEATW,20231013,0.1675,0.1875,0.1675,0.1675,500
BECN,20231013,74.46,75.07,72.6,72.83,346400
BEEM,20231013,7,7.23,6.9,7.11,101700
BELFA,20231013,45.98,45.98,45.47,45.47,2000
BELFB,20231013,48.34,48.34,45.75,45.79,143500
BENF,20231013,1.15,1.15,1.02,1.14,106600
BENFW,20231013,0.0222,0.0222,0.0122,0.0149,67300
BETR,20231013,0.3881,0.4096,0.341,0.3978,4919400
BETRW,20231013,0.1,0.1,0.0702,0.09,1300
BETS,20231013,0.5275,0.53,0.495,0.518,729100
BFC,20231013,78.83,80.5899,77.81,78.1,9000
BFI,20231013,1.08,1.08,1.0314,1.04,11700
BFIIW,20231013,0.0925,0.1,0.0925,0.095,1100
BFIN,20231013,8.62,8.62,8.57,8.59,6600
BFIT,20231013,20.3,20.3,20.18,20.2662,1900
BFRG,20231013,3.16,3.29,3.03,3.09,50800
BFRGW,20231013,0.55,0.55,0.49,0.49,1000
BFRI,20231013,6.65,6.84,6.65,6.72,1300
BFST,20231013,18.65,18.76,18.28,18.46,71600
BGC,20231013,6,6.02,5.75,5.81,2084200
BGFV,20231013,7.47,7.47,7.2587,7.3,209200
BGLC,20231013,0.61,0.68,0.594,0.6324,69400
BGNE,20231013,177,180.02,172.85,178.79,217500
BGRN,20231013,44.9,44.94,44.801,44.86,12400
