Symbol,Name,Country,IPO Year,Volume,Sector,Industry
IKT,Inhibikase Therapeutics Inc. Common Stock,United States,2020,136608,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ILAG,Intelligent Living Application Group Inc. Ordinary Shares,Hong Kong,2022,12103,Consumer Discretionary,Office Equipment/Supplies/Services
ILLR,Triller Group Inc. Common Stock,United States,2019,275773,Finance,Investment Managers
ILLRW,Triller Group Inc. Warrant,United States,2019,14619,Finance,Investment Managers
ILMN,Illumina Inc. Common Stock,United States,2000,1113381,Health Care,Medical Specialities
ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,United States,2018,223818,Real Estate,Real Estate Investment Trusts
IMAB,I-MAB American Depositary Shares,China,2020,48330,Health Care,Biotechnology: Pharmaceutical Preparations
IMCC,IM Cannabis Corp. Common Shares,Canada,,1003,Health Care, Medicinal Chemicals and Botanical Products 
IMCR,Immunocore Holdings plc American Depositary Shares,United Kingdom,2021,169696,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMG,CIMG Inc. Common Stock,United States,,81472,Consumer Discretionary,Other Specialty Stores
IMKTA,Ingles Markets Incorporated Class A Common Stock,United States,1987,129552,Consumer Staples,Food Chains
IMMP,Immutep Limited American Depositary Shares,Australia,,26969,Health Care,Biotechnology: Pharmaceutical Preparations
IMMR,Immersion Corporation Common Stock,United States,1999,240164,Technology,Computer peripheral equipment
IMMX,Immix Biopharma Inc. Common Stock,United States,2021,108639,Health Care,Biotechnology: Pharmaceutical Preparations
IMNM,Immunome Inc. Common Stock,United States,2020,778837,Health Care,Biotechnology: Pharmaceutical Preparations
IMNN,Imunon Inc. Common Stock,United States,,15773,Health Care,Biotechnology: Pharmaceutical Preparations
IMOS,ChipMOS TECHNOLOGIES INC. American Depositary Shares,Taiwan,,37160,Technology,Semiconductors
IMPP,Imperial Petroleum Inc. Common Shares,Greece,,42606,Consumer Discretionary,Marine Transportation
IMPPP,Imperial Petroleum Inc. 8.75% Series A Cumulative Redeemable Perpetual Preferred Shares,Greece,,1181,Consumer Discretionary,Marine Transportation
IMRN,Immuron Limited American Depositary Shares,Australia,2017,1052,Health Care,Biotechnology: Pharmaceutical Preparations
IMRX,Immuneering Corporation Class A Common Stock,United States,2021,91222,Health Care,Biotechnology: Pharmaceutical Preparations
IMTE,Integrated Media Technology Limited Ordinary Shares,Australia,,11859,Consumer Staples,Consumer Electronics/Appliances
IMTX,Immatics N.V. Ordinary Shares,Germany,,398713,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMTXW,Immatics N.V. Warrants,Germany,,238,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMUX,Immunic Inc. Common Stock,United States,2014,374503,Health Care,Biotechnology: Pharmaceutical Preparations
IMVT,Immunovant Inc. Common Stock,United States,2019,1444806,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMXI,International Money Express Inc. Common Stock,United States,2017,209902,Consumer Discretionary,Business Services
INAB,IN8bio Inc. Common Stock,United States,2021,587052,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INBK,First Internet Bancorp Common Stock,United States,,143003,Finance,Major Banks
INBKZ,First Internet Bancorp 6.0% Fixed-to-Floating Rate Subordinated Notes Due 2029,United States,,5354,Finance,Major Banks
INBS,Intelligent Bio Solutions Inc. Common Stock,United States,2020,39806,Health Care,Medical/Dental Instruments
INBX,Inhibrx Biosciences Inc. Common Stock,United States,,85402,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INCR,Intercure Ltd. Ordinary Shares,Israel,,9048,Health Care,Biotechnology: Pharmaceutical Preparations
INCY,Incyte Corp. Common Stock,United States,,2184553,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INDB,Independent Bank Corp. Common Stock,United States,,299302,Finance,Major Banks
INDI,indie Semiconductor Inc. Class A Common Stock,United States,,1177250,Technology,Semiconductors
INDP,Indaptus Therapeutics Inc. Common Stock,United States,,31438,Health Care,Biotechnology: Pharmaceutical Preparations
INDV,Indivior PLC Ordinary Shares,United Kingdom,,1437315,Health Care,Biotechnology: Pharmaceutical Preparations
INEO,INNEOVA Holdings Limited Ordinary Shares,Singapore,2024,21432745,Consumer Discretionary,Motor Vehicles
INGN,Inogen Inc Common Stock,United States,2014,150179,Health Care,Industrial Specialties
INHD,Inno Holdings Inc. Common Stock,United States,2023,220381,Industrials,Steel/Iron Ore
INKT,MiNK Therapeutics Inc. Common Stock,United States,2021,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INLF,INLIF LIMITED Ordinary Shares,China,2025,20681,Industrials,Industrial Machinery/Components
INM,InMed Pharmaceuticals Inc. Common Shares,Canada,,15078,Health Care,Biotechnology: Pharmaceutical Preparations
INMB,INmune Bio Inc. Common stock,United States,2019,147206,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INMD,InMode Ltd. Ordinary Shares,Israel,2019,4805719,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
INNV,InnovAge Holding Corp. Common Stock,United States,2021,31398,Health Care,Medical/Nursing Services
INO,Inovio Pharmaceuticals Inc. Common Stock,United States,,367109,Health Care,Medical/Dental Instruments
INOD,Innodata Inc. Common Stock,United States,1993,948356,Technology,EDP Services
INSE,Inspired Entertainment Inc. Common Stock,United States,2014,124255,Technology,Computer Software: Prepackaged Software
INSG,Inseego Corp. Common Stock,United States,,84295,Telecommunications,Telecommunications Equipment
INSM,Insmed Incorporated Common Stock,United States,,2580914,Health Care,Biotechnology: Pharmaceutical Preparations
INTA,Intapp Inc. Common Stock,United States,2021,272345,Technology,Computer Software: Prepackaged Software
INTC,Intel Corporation Common Stock,United States,,96624416,Technology,Semiconductors
INTG,Intergroup Corporation (The) Common Stock,United States,,8690,Real Estate,Building operators
INTJ,Intelligent Group Limited Class A Ordinary Shares ,Hong Kong,2024,6144843,Consumer Discretionary,Professional Services
INTR,Inter & Co. Inc. Class A Common Shares,Brazil,,1496702,Finance,Commercial Banks
INTS,Intensity Therapeutics Inc. Common stock,United States,2023,922987,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
