<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
ANGL,D,20230727,27.87,27.91,27.61,27.65,2033400
ANGO,D,20230727,9.09,9.125,8.69,8.76,316700
ANIK,D,20230727,25.11,25.14,24.41,24.58,148400
ANIP,D,20230727,52.57,52.67,51.27,51.54,55500
ANIX,D,20230727,3.63,3.71,3.5,3.55,40100
ANNX,D,20230727,3.42,3.42,3.1,3.14,381500
ANSS,D,20230727,343.1,345.09,332.97,334.33,379300
ANTE,D,20230727,1.39,1.42,1.39,1.42,900
ANTX,D,20230727,7.89,8.53,7.89,8.18,8400
ANY,D,20230727,2.45,2.45,2.36,2.38,65800
ANZU,D,20230727,10.33,10.33,10.315,10.315,221000
ANZUW,D,20230727,0.0489,0.0489,0.0476,0.0476,200
AOSL,D,20230727,30.97,31.37,30.7,30.88,110700
AOTG,D,20230727,31.5311,31.5311,31.5311,31.5311,100
AOUT,D,20230727,8.9,8.9999,8.6763,8.81,40500
APA,D,20230727,40.5,40.76,39.36,39.48,4127600
APAC,D,20230727,10.93,10.945,10.92,10.945,2600
APCX,D,20230727,1.75,1.7762,1.66,1.71,78600
APCXW,D,20230727,0.53,0.5461,0.4638,0.5373,5600
APDN,D,20230727,1.55,1.64,1.51,1.61,151600
APEI,D,20230727,4.82,4.8223,4.56,4.61,44000
APGE,D,20230727,21.07,21.47,20.57,21.29,241400
APGN,D,20230727,0.4201,0.4525,0.3902,0.393,34500
APGNW,D,20230727,0.0153,0.03,0.0153,0.03,13100
API,D,20230727,3.1,3.17,3,3.01,296400
APLD,D,20230727,10.23,10.63,9.85,9.97,6008600
APLM,D,20230727,5.11,5.25,5.0302,5.11,6600
APLMW,D,20230727,0.0693,0.0701,0.0653,0.0701,5600
APLS,D,20230727,31.25,34.66,29.84,32.11,9198100
APLT,D,20230727,1.52,1.54,1.45,1.5,167700
APM,D,20230727,2.06,2.06,2,2,6100
APOG,D,20230727,46.77,46.99,46.2,46.92,128200
APP,D,20230727,30.59,31.1,29.95,29.98,2646200
APPF,D,20230727,180,182,175.035,175.82,164000
APPH,D,20230727,0.08,0.0885,0.0757,0.0779,11767500
APPHW,D,20230727,0.009,0.009,0.005,0.0051,283000
APPN,D,20230727,50,50,47.005,47.52,193300
APPS,D,20230727,10.9,10.945,10.22,10.28,1397200
APRE,D,20230727,2.98,3.0459,2.88,2.9308,8700
APTM,D,20230727,10.9,10.9,10.5,10.5,26200
APTMW,D,20230727,0.081,0.09,0.0602,0.09,3700
APTO,D,20230727,4.04,4.04,3.83,3.95,34100
APVO,D,20230727,1.03,1.05,1.03,1.04,50700
APWC,D,20230727,2.05,2.08,1.92,1.98,10500
APXI,D,20230727,10.76,10.76,10.76,10.76,100
APXIW,D,20230727,0.1189,0.1189,0.0837,0.0837,1500
APYX,D,20230727,4.98,4.98,4.72,4.73,147500
AQB,D,20230727,0.3801,0.389,0.3801,0.3813,208700
AQMS,D,20230727,1.29,1.32,1.25,1.27,595900
